book_id,genres
113,"['classics', 'fiction', 'historical-fiction']"
114,"['nonfiction', 'memoir', 'biography', 'classics', 'philosophy', 'self-help', 'contemporary']"
115,"['fiction', 'historical-fiction', 'contemporary', 'classics']"
116,"['classics', 'fiction', 'young-adult', 'historical-fiction']"
118,"['fiction', 'historical-fiction', 'classics', 'contemporary']"
119,"['fiction', 'classics', 'science-fiction', 'fantasy']"
120,"['young-adult', 'fiction', 'chick-lit', 'contemporary', 'romance']"
121,"['classics', 'fiction', 'romance']"
122,"['fantasy', 'fiction', 'classics']"
123,"['fiction', 'thriller', 'mystery', 'suspense', 'crime']"
125,"['classics', 'fiction', 'poetry']"
127,"['nonfiction', 'business', 'psychology', 'science', 'self-help', 'philosophy']"
128,"['biography', 'nonfiction', 'business', 'history', 'memoir']"
129,"['classics', 'fiction', 'psychology', 'contemporary']"
130,"['classics', 'fiction']"
131,"['classics', 'fiction', 'historical-fiction']"
132,"['fiction', 'contemporary', 'fantasy', 'spirituality', 'classics', 'philosophy']"
133,"['classics', 'fiction', 'young-adult', 'historical-fiction']"
134,"['fantasy', 'young-adult', 'paranormal', 'romance', 'fiction']"
135,"['fantasy', 'fiction']"
136,"['fiction', 'chick-lit', 'contemporary', 'historical-fiction']"
137,"['historical-fiction', 'romance', 'fantasy', 'fiction']"
138,"['classics', 'fiction', 'historical-fiction']"
139,"['fantasy', 'young-adult', 'fiction', 'paranormal', 'mystery', 'horror', 'historical-fiction']"
140,"['fiction', 'mystery', 'thriller', 'crime', 'suspense', 'contemporary']"
141,"['science-fiction', 'fiction', 'thriller']"
142,"['historical-fiction', 'fiction', 'fantasy', 'classics']"
143,"['historical-fiction', 'fiction']"
144,"['nonfiction', 'history', 'biography', 'memoir']"
145,"['fiction', 'thriller', 'mystery', 'suspense', 'crime', 'science-fiction']"
146,"['fiction', 'contemporary', 'art', 'mystery']"
148,"['historical-fiction', 'fiction', 'classics', 'art', 'romance']"
149,"['young-adult', 'romance', 'contemporary', 'fiction', 'music']"
150,"['historical-fiction', 'fiction', 'religion']"
151,"['fantasy', 'young-adult', 'fiction']"
152,"['romance', 'fiction', 'chick-lit', 'contemporary', 'young-adult']"
153,"['fantasy', 'young-adult', 'paranormal', 'romance', 'fiction']"
154,"['classics', 'fiction', 'poetry']"
155,"['fantasy', 'fiction', 'classics']"
156,"['chick-lit', 'romance', 'fiction', 'contemporary']"
157,"['classics', 'fiction', 'poetry', 'fantasy', 'young-adult']"
158,"['fantasy', 'fiction', 'classics', 'young-adult']"
159,"['fantasy', 'young-adult', 'fiction']"
160,"['classics', 'fiction', 'historical-fiction']"
162,"['classics', 'fiction', 'philosophy']"
163,"['fantasy', 'young-adult', 'fiction']"
164,"['young-adult', 'romance', 'contemporary', 'fiction']"
165,"['fantasy', 'fiction']"
166,"['young-adult', 'romance', 'science-fiction', 'fiction', 'fantasy']"
167,"['fantasy', 'fiction', 'science-fiction', 'contemporary']"
168,"['horror', 'fiction', 'fantasy', 'science-fiction', 'thriller', 'classics']"
169,"['romance', 'fiction', 'young-adult', 'contemporary', 'chick-lit']"
170,"['fiction', 'thriller', 'mystery', 'suspense', 'crime', 'science-fiction']"
171,"['classics', 'fiction', 'romance', 'historical-fiction']"
172,"['classics', 'fiction', 'romance', 'historical-fiction']"
175,"['fantasy', 'young-adult', 'fiction']"
176,"['horror', 'fiction', 'thriller', 'fantasy', 'mystery', 'paranormal', 'classics']"
177,"['classics', 'fiction', 'philosophy', 'crime']"
178,"['classics', 'fiction', 'psychology', 'poetry']"
179,"['nonfiction', 'memoir', 'biography', 'classics', 'history']"
180,"['classics', 'fiction', 'philosophy', 'religion', 'spirituality', 'historical-fiction']"
181,"['nonfiction', 'classics', 'crime', 'mystery', 'history', 'thriller', 'biography']"
182,"['young-adult', 'fantasy', 'paranormal', 'romance', 'fiction']"
183,"['fantasy', 'young-adult', 'paranormal', 'romance', 'historical-fiction', 'fiction']"
184,"['fiction', 'classics', 'fantasy', 'young-adult']"
185,"['fantasy', 'fiction', 'romance', 'historical-fiction', 'young-adult']"
186,"['historical-fiction', 'fiction', 'romance', 'chick-lit']"
187,"['young-adult', 'science-fiction', 'fiction', 'fantasy', 'romance']"
188,"['fantasy', 'fiction']"
189,"['fantasy', 'classics', 'fiction', 'young-adult']"
190,"['nonfiction', 'memoir', 'travel', 'biography']"
191,"['graphic-novels', 'comics', 'fiction', 'science-fiction', 'fantasy', 'classics']"
192,"['fantasy', 'fiction']"
193,"['nonfiction', 'psychology', 'business', 'self-help', 'science']"
194,"['classics', 'fiction', 'historical-fiction']"
197,"['fantasy', 'paranormal', 'romance', 'fiction', 'mystery', 'horror']"
199,"['nonfiction', 'memoir', 'biography', 'contemporary']"
200,"['mystery', 'classics', 'fiction', 'crime', 'thriller', 'suspense']"
201,"['fiction', 'mystery', 'thriller', 'suspense', 'historical-fiction', 'crime']"
202,"['young-adult', 'fantasy', 'romance', 'paranormal', 'fiction']"
203,"['romance', 'contemporary', 'young-adult', 'fiction', 'chick-lit']"
204,"['classics', 'fiction', 'fantasy', 'historical-fiction']"
205,"['horror', 'fantasy', 'fiction', 'paranormal', 'classics', 'historical-fiction']"
206,"['young-adult', 'romance', 'fantasy', 'fiction', 'science-fiction', 'chick-lit']"
207,"['mystery', 'fiction', 'chick-lit', 'romance', 'crime', 'contemporary']"
208,"['nonfiction', 'science', 'history', 'biography']"
209,"['horror', 'fiction', 'thriller', 'mystery', 'crime', 'suspense', 'classics']"
210,"['young-adult', 'fantasy', 'paranormal', 'romance', 'fiction']"
211,"['nonfiction', 'psychology', 'business', 'science', 'self-help', 'philosophy']"
212,"['fiction', 'historical-fiction', 'romance', 'classics', 'contemporary']"
213,"['classics', 'fiction', 'fantasy', 'philosophy', 'horror']"
214,"['fantasy', 'young-adult', 'fiction']"
215,"['science-fiction', 'fiction', 'young-adult', 'fantasy']"
216,"['fiction', 'contemporary']"
218,"['romance', 'contemporary', 'fiction', 'chick-lit']"
219,"['fantasy', 'classics', 'fiction', 'young-adult', 'christian']"
220,"['young-adult', 'fantasy', 'paranormal', 'romance', 'fiction']"
221,"['nonfiction', 'memoir', 'biography', 'psychology']"
222,"['fiction', 'thriller', 'mystery', 'suspense', 'crime']"
223,"['fantasy', 'young-adult', 'fiction', 'science-fiction']"
224,"['young-adult', 'fantasy', 'romance', 'paranormal', 'fiction']"
225,"['classics', 'fiction', 'historical-fiction']"
226,"['mystery', 'fiction', 'thriller', 'crime', 'suspense', 'contemporary']"
227,"['fiction', 'mystery', 'thriller', 'crime', 'suspense']"
228,"['chick-lit', 'fiction', 'contemporary', 'romance']"
229,"['classics', 'fantasy', 'fiction', 'young-adult']"
230,"['classics', 'fiction', 'romance', 'historical-fiction']"
231,"['historical-fiction', 'fiction']"
232,"['fantasy', 'fiction', 'horror', 'science-fiction', 'thriller']"
233,"['fiction', 'classics', 'historical-fiction', 'romance']"
235,"['fiction', 'mystery', 'chick-lit', 'contemporary', 'thriller']"
236,"['nonfiction', 'memoir', 'travel', 'biography', 'history', 'sports']"
237,"['horror', 'fiction', 'thriller', 'paranormal', 'fantasy', 'classics']"
238,"['memoir', 'nonfiction', 'biography', 'psychology']"
239,"['horror', 'fiction', 'science-fiction', 'fantasy']"
240,"['fiction', 'thriller', 'mystery', 'suspense', 'historical-fiction', 'crime']"
241,"['historical-fiction', 'young-adult', 'fiction', 'classics']"
242,"['mystery', 'fiction', 'thriller', 'crime', 'suspense']"
243,"['horror', 'fiction', 'thriller', 'suspense', 'mystery', 'crime']"
244,"['mystery', 'fiction', 'thriller', 'crime', 'suspense', 'contemporary']"
246,"['young-adult', 'fantasy', 'paranormal', 'romance', 'fiction']"
247,"['self-help', 'nonfiction', 'business', 'psychology', 'philosophy']"
248,"['classics', 'fiction', 'fantasy', 'romance', 'poetry']"
249,"['fiction', 'contemporary', 'historical-fiction', 'young-adult']"
250,"['young-adult', 'fiction', 'contemporary']"
251,"['classics', 'fiction', 'poetry', 'fantasy']"
253,"['mystery', 'fiction', 'crime', 'thriller', 'contemporary']"
254,"['young-adult', 'fantasy', 'romance', 'paranormal', 'fiction']"
255,"['classics', 'philosophy', 'science-fiction', 'fiction']"
256,"['nonfiction', 'memoir', 'biography', 'travel', 'history']"
257,"['classics', 'fantasy', 'fiction', 'young-adult']"
258,"['fiction', 'historical-fiction', 'mystery', 'fantasy']"
259,"['young-adult', 'science-fiction', 'fiction', 'fantasy', 'mystery']"
260,"['nonfiction', 'self-help', 'business', 'psychology', 'classics']"
261,"['travel', 'nonfiction', 'memoir', 'romance', 'biography', 'chick-lit', 'contemporary']"
263,"['fantasy', 'young-adult', 'fiction', 'romance']"
264,"['classics', 'fiction', 'historical-fiction']"
265,"['classics', 'fiction', 'historical-fiction', 'young-adult']"
266,"['mystery', 'fiction', 'thriller', 'crime', 'suspense']"
267,"['historical-fiction', 'fiction', 'romance']"
268,"['fiction', 'science-fiction', 'contemporary', 'romance']"
269,"['romance', 'chick-lit', 'fiction', 'contemporary']"
270,"['classics', 'fiction', 'mystery', 'romance', 'historical-fiction', 'thriller', 'suspense']"
272,"['fiction', 'romance', 'historical-fiction', 'classics', 'fantasy']"
274,"['fiction', 'classics', 'crime', 'thriller', 'historical-fiction', 'mystery']"
275,"['young-adult', 'contemporary', 'fiction', 'romance']"
276,"['science-fiction', 'fiction', 'classics', 'fantasy']"
277,"['fantasy', 'fiction', 'horror', 'young-adult', 'paranormal']"
278,"['poetry', 'classics', 'fiction', 'young-adult']"
279,"['fantasy', 'fiction', 'young-adult']"
280,"['young-adult', 'romance', 'science-fiction', 'fantasy', 'fiction']"
281,"['fiction', 'mystery', 'thriller', 'suspense', 'crime']"
282,"['fantasy', 'horror', 'fiction', 'young-adult', 'paranormal']"
283,"['fantasy', 'fiction', 'science-fiction']"
284,"['classics', 'fiction', 'travel']"
285,"['fiction', 'romance', 'contemporary', 'chick-lit']"
286,"['romance', 'fiction', 'chick-lit', 'contemporary']"
287,"['fiction', 'classics', 'philosophy']"
288,"['fiction', 'thriller', 'mystery', 'suspense']"
289,"['classics', 'fiction', 'fantasy', 'young-adult']"
290,"['nonfiction', 'memoir', 'biography']"
291,"['fiction', 'historical-fiction']"
292,"['fantasy', 'fiction', 'classics', 'young-adult', 'christian']"
293,"['classics', 'fiction', 'young-adult', 'historical-fiction', 'fantasy']"
294,"['fantasy', 'young-adult', 'fiction']"
295,"['fiction', 'historical-fiction', 'science-fiction', 'fantasy', 'horror', 'thriller', 'mystery']"
296,"['fiction', 'classics']"
297,"['fiction', 'classics', 'science-fiction', 'fantasy']"
298,"['classics', 'science-fiction', 'fiction', 'fantasy']"
299,"['nonfiction', 'christian', 'religion', 'spirituality', 'memoir', 'biography']"
300,"['historical-fiction', 'fiction', 'young-adult', 'classics']"
301,"['classics', 'fiction', 'historical-fiction']"
303,"['self-help', 'nonfiction', 'spirituality', 'psychology', 'philosophy', 'business']"
304,"['fiction', 'contemporary', 'psychology']"
305,"['horror', 'fiction', 'thriller', 'fantasy', 'paranormal', 'suspense', 'mystery']"
306,"['fiction', 'contemporary', 'chick-lit']"
307,"['fantasy', 'fiction']"
308,"['chick-lit', 'romance', 'fiction', 'contemporary']"
309,"['fantasy', 'young-adult', 'paranormal', 'romance', 'fiction']"
310,"['chick-lit', 'fiction', 'romance', 'contemporary']"
311,"['fiction', 'historical-fiction', 'romance', 'classics']"
312,"['fantasy', 'young-adult', 'fiction', 'horror', 'paranormal']"
313,"['fiction', 'historical-fiction', 'romance']"
314,"['fantasy', 'young-adult', 'fiction']"
315,"['nonfiction', 'self-help', 'business', 'psychology', 'philosophy']"
316,"['nonfiction', 'travel', 'memoir', 'biography', 'history']"
317,"['nonfiction', 'classics', 'memoir', 'biography', 'poetry']"
318,"['historical-fiction', 'fiction', 'young-adult', 'contemporary']"
319,"['fantasy', 'young-adult', 'paranormal', 'romance', 'fiction']"
320,"['fiction', 'contemporary', 'mystery', 'chick-lit']"
321,"['classics', 'fiction', 'young-adult', 'historical-fiction']"
322,"['fantasy', 'fiction', 'science-fiction', 'horror', 'young-adult']"
323,"['fiction', 'classics', 'philosophy', 'romance', 'contemporary']"
324,"['young-adult', 'contemporary', 'romance', 'fiction', 'chick-lit']"
325,"['fiction', 'classics', 'contemporary', 'historical-fiction']"
326,"['fiction', 'contemporary', 'chick-lit', 'young-adult']"
327,"['young-adult', 'science-fiction', 'romance', 'fantasy', 'fiction']"
328,"['fiction', 'contemporary', 'chick-lit', 'young-adult', 'mystery', 'crime']"
330,"['fantasy', 'fiction']"
331,"['fiction', 'romance', 'contemporary', 'chick-lit', 'mystery', 'young-adult']"
332,"['fantasy', 'classics', 'fiction', 'young-adult', 'christian']"
333,"['fiction', 'contemporary', 'psychology']"
334,"['romance', 'contemporary', 'fiction', 'chick-lit']"
335,"['fantasy', 'fiction', 'classics', 'young-adult']"
336,"['mystery', 'fiction', 'crime', 'thriller', 'suspense']"
337,"['science-fiction', 'fiction', 'fantasy', 'classics']"
338,"['fiction', 'romance', 'contemporary', 'chick-lit']"
339,"['classics', 'fiction', 'poetry', 'young-adult']"
340,"['young-adult', 'fantasy', 'science-fiction', 'fiction', 'romance', 'paranormal']"
341,"['classics', 'poetry', 'fiction', 'fantasy', 'historical-fiction']"
342,"['fiction', 'contemporary', 'mystery']"
343,"['fiction', 'thriller', 'mystery', 'crime', 'suspense']"
344,"['nonfiction', 'memoir', 'biography']"
345,"['fantasy', 'young-adult', 'fiction']"
346,"['classics', 'fantasy', 'fiction', 'young-adult']"
347,"['fantasy', 'fiction', 'classics', 'young-adult', 'christian']"
348,"['young-adult', 'contemporary', 'mystery', 'fiction', 'romance', 'thriller']"
349,"['horror', 'fiction', 'fantasy', 'thriller', 'paranormal', 'mystery']"
350,"['fiction', 'classics', 'contemporary', 'travel']"
351,"['fantasy', 'young-adult', 'romance', 'paranormal', 'historical-fiction', 'fiction']"
352,"['nonfiction', 'memoir', 'biography']"
353,"['classics', 'fiction', 'poetry']"
354,"['fiction', 'classics', 'historical-fiction']"
355,"['fantasy', 'young-adult', 'romance', 'fiction', 'paranormal']"
356,"['fiction', 'young-adult', 'fantasy', 'mystery']"
357,"['classics', 'fiction', 'historical-fiction']"
358,"['fiction', 'classics', 'poetry', 'fantasy', 'young-adult']"
359,"['fiction', 'historical-fiction', 'contemporary']"
361,"['classics', 'fiction', 'historical-fiction']"
363,"['young-adult', 'romance', 'contemporary', 'chick-lit', 'fiction']"
364,"['classics', 'fiction', 'poetry', 'fantasy']"
365,"['graphic-novels', 'comics', 'fiction', 'science-fiction', 'classics', 'fantasy']"
366,"['history', 'biography', 'nonfiction']"
367,"['horror', 'fiction', 'mystery', 'fantasy', 'thriller', 'paranormal', 'suspense']"
369,"['young-adult', 'fiction', 'contemporary', 'romance']"
370,"['fantasy', 'young-adult', 'fiction']"
371,"['science-fiction', 'fiction', 'classics', 'fantasy', 'philosophy', 'religion']"
372,"['nonfiction', 'memoir', 'biography']"
373,"['fantasy', 'fiction', 'classics', 'young-adult']"
374,"['nonfiction', 'science', 'history', 'philosophy']"
375,"['classics', 'fiction', 'young-adult', 'historical-fiction']"
376,"['young-adult', 'science-fiction', 'fiction', 'fantasy']"
377,"['fantasy', 'fiction', 'romance', 'young-adult']"
378,"['fiction', 'contemporary']"
379,"['fantasy', 'fiction', 'romance', 'paranormal']"
380,"['fiction', 'romance', 'contemporary']"
381,"['fiction', 'chick-lit', 'romance', 'contemporary', 'young-adult']"
382,"['young-adult', 'contemporary', 'fiction', 'romance']"
383,"['fiction', 'contemporary', 'psychology']"
384,"['young-adult', 'fantasy', 'paranormal', 'romance', 'fiction']"
385,"['nonfiction', 'psychology', 'self-help', 'science', 'business']"
387,"['classics', 'fiction', 'historical-fiction']"
388,"['young-adult', 'fiction', 'classics']"
389,"['fantasy', 'fiction', 'young-adult']"
390,"['classics', 'fiction', 'horror', 'science-fiction', 'mystery', 'fantasy']"
391,"['fiction', 'classics', 'poetry', 'fantasy', 'young-adult']"
392,"['fiction', 'young-adult', 'graphic-novels', 'comics']"
393,"['fantasy', 'young-adult', 'romance', 'fiction', 'paranormal']"
394,"['young-adult', 'fantasy', 'paranormal', 'romance', 'fiction']"
395,"['classics', 'fiction', 'historical-fiction']"
396,"['historical-fiction', 'fiction', 'romance']"
397,"['fiction', 'classics', 'historical-fiction', 'horror', 'mystery', 'thriller', 'crime']"
398,"['nonfiction', 'history', 'science', 'business']"
399,"['fantasy', 'fiction', 'young-adult']"
401,"['classics', 'fiction', 'historical-fiction', 'romance']"
402,"['classics', 'horror', 'fiction', 'poetry', 'mystery', 'fantasy']"
403,"['nonfiction', 'classics', 'philosophy', 'history', 'business']"
404,"['fiction', 'mystery', 'thriller', 'crime', 'suspense']"
405,"['fiction', 'classics', 'science-fiction']"
406,"['art', 'nonfiction', 'psychology', 'self-help']"
407,"['fiction', 'contemporary', 'music', 'romance']"
408,"['history', 'nonfiction', 'science']"
409,"['fiction', 'historical-fiction', 'classics', 'chick-lit']"
410,"['fiction', 'classics', 'historical-fiction']"
411,"['chick-lit', 'romance', 'fiction', 'contemporary']"
412,"['nonfiction', 'self-help', 'psychology', 'christian']"
413,"['classics', 'fiction', 'historical-fiction']"
414,"['fiction', 'historical-fiction', 'contemporary']"
415,"['young-adult', 'fantasy', 'paranormal', 'romance', 'fiction']"
416,"['fantasy', 'fiction', 'classics', 'young-adult']"
417,"['fiction', 'mystery', 'historical-fiction', 'fantasy']"
418,"['young-adult', 'fantasy', 'paranormal', 'romance', 'fiction']"
419,"['young-adult', 'fantasy', 'paranormal', 'romance', 'fiction']"
420,"['romance', 'fiction', 'chick-lit', 'contemporary']"
421,"['historical-fiction', 'fiction', 'romance']"
422,"['fantasy', 'young-adult', 'fiction', 'classics']"
423,"['young-adult', 'romance', 'fantasy', 'fiction', 'science-fiction', 'chick-lit']"
424,"['fiction', 'historical-fiction', 'mystery', 'classics', 'crime']"
425,"['young-adult', 'fiction', 'classics', 'contemporary', 'psychology']"
426,"['fiction', 'classics', 'contemporary']"
427,"['classics', 'fiction', 'romance']"
428,"['fantasy', 'young-adult', 'fiction', 'romance']"
429,"['fantasy', 'fiction', 'science-fiction']"
430,"['fiction', 'fantasy', 'contemporary']"
431,"['horror', 'fiction', 'thriller', 'crime', 'mystery', 'suspense']"
432,"['science-fiction', 'fiction', 'classics', 'fantasy']"
433,"['romance', 'paranormal', 'fantasy', 'fiction']"
434,"['young-adult', 'fantasy', 'paranormal', 'romance', 'fiction']"
435,"['young-adult', 'contemporary', 'fiction', 'romance', 'fantasy', 'paranormal']"
436,"['fiction', 'historical-fiction', 'contemporary', 'classics']"
437,"['historical-fiction', 'fiction']"
438,"['fiction', 'chick-lit', 'contemporary', 'romance', 'mystery']"
439,"['science', 'nonfiction', 'history', 'philosophy', 'classics']"
440,"['historical-fiction', 'fiction']"
441,"['horror', 'fiction', 'science-fiction', 'thriller', 'fantasy', 'mystery', 'suspense']"
443,"['young-adult', 'romance', 'contemporary', 'fiction', 'chick-lit', 'music']"
444,"['classics', 'fiction', 'fantasy', 'young-adult']"
445,"['fiction', 'thriller', 'mystery', 'suspense', 'crime', 'contemporary']"
446,"['classics', 'mystery', 'fiction', 'crime', 'historical-fiction']"
447,"['fantasy', 'young-adult', 'fiction']"
448,"['christian', 'nonfiction', 'religion', 'self-help', 'spirituality']"
449,"['young-adult', 'fantasy', 'paranormal', 'romance', 'fiction']"
450,"['fantasy', 'mystery', 'fiction', 'paranormal', 'crime']"
451,"['classics', 'fiction', 'romance', 'historical-fiction']"
452,"['young-adult', 'science-fiction', 'fiction', 'fantasy', 'romance']"
453,"['historical-fiction', 'fiction', 'romance', 'classics']"
454,"['fiction', 'classics', 'fantasy']"
455,"['chick-lit', 'fiction', 'romance', 'contemporary']"
456,"['classics', 'fiction']"
458,"['fiction', 'science-fiction', 'fantasy']"
459,"['fiction', 'contemporary']"
460,"['fantasy', 'young-adult', 'romance', 'paranormal', 'historical-fiction', 'fiction']"
461,"['classics', 'fiction', 'historical-fiction']"
462,"['art', 'nonfiction', 'philosophy', 'history']"
463,"['historical-fiction', 'romance', 'fantasy', 'fiction']"
464,"['religion', 'classics', 'nonfiction', 'christian', 'history', 'philosophy', 'spirituality']"
465,"['chick-lit', 'fiction', 'romance', 'contemporary']"
466,"['fantasy', 'graphic-novels', 'fiction', 'classics', 'comics', 'young-adult']"
467,"['fiction', 'contemporary', 'historical-fiction']"
468,"['classics', 'fiction', 'historical-fiction']"
469,"['fantasy', 'fiction', 'young-adult']"
470,"['nonfiction', 'biography', 'memoir', 'history']"
471,"['classics', 'fiction', 'romance', 'historical-fiction']"
472,"['nonfiction', 'psychology', 'philosophy', 'history', 'memoir', 'self-help', 'biography', 'classics', 'spirituality']"
474,"['nonfiction', 'religion', 'science', 'philosophy', 'psychology', 'spirituality']"
475,"['young-adult', 'romance', 'contemporary', 'fiction', 'music']"
476,"['fiction', 'classics', 'contemporary']"
477,"['thriller', 'fiction', 'mystery', 'crime', 'suspense']"
478,"['classics', 'fiction', 'historical-fiction']"
479,"['classics', 'philosophy', 'nonfiction', 'history']"
